,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn
24,43331,15791742,Y?an,697.0,France,Male,47.0,6,0.0,2,1,0,95623.35,0
25,78355,15592999,Ch'ang,718.0,Germany,Male,41.0,1,141069.44,2,1,0,95562.93,0
26,22633,15747854,Rudd,556.0,France,Female,35.0,3,0.0,3,1,0,132649.85,0
27,61009,15586133,Lucchesi,717.0,Spain,Female,46.0,6,0.0,2,1,0,88965.46,0
28,28279,15567486,Y?an,711.0,France,Male,38.0,7,100252.88,2,1,1,116866.76,0
29,89701,15640846,Hs?,667.0,France,Male,28.0,7,0.0,2,1,1,122823.34,0
30,15200,15737267,Clark,528.0,France,Male,29.0,7,0.0,1,1,0,79240.9,1
31,86957,15635277,Yevseyev,588.0,France,Male,50.0,3,0.0,1,1,0,61326.43,1
32,5750,15807593,Teng,592.0,France,Female,47.0,7,0.0,2,1,1,161653.5,0
33,45817,15718673,Onochie,686.0,France,Female,31.0,2,0.0,2,1,0,166799.98,0
34,7632,15702300,Hsing,625.0,Germany,Male,34.0,8,124576.65,1,1,0,53353.36,0
35,49674,15606071,Ch'eng,807.0,Germany,Female,56.0,5,129974.55,3,1,0,173680.39,1
36,128473,15773973,Trevisani,555.0,France,Male,35.0,8,0.0,2,1,0,100130.95,0
37,63097,15757761,Lombardo,714.0,France,Male,48.0,0,0.0,1,1,0,1568.44,1
38,164826,15726589,Toscani,544.0,France,Female,30.0,2,141359.63,1,1,0,110265.24,0
39,5760,15592089,Nwachinemelu,724.0,France,Male,46.0,9,0.0,2,1,1,142513.98,0
40,91813,15596522,Hsiung,656.0,Spain,Male,43.0,3,0.0,2,1,0,143566.64,0
41,136565,15622003,Yeh,625.0,Germany,Male,41.0,2,106301.72,1,1,1,145700.66,1
42,11411,15700394,Bellucci,769.0,France,Male,34.0,4,0.0,2,1,0,130784.2,0
43,26506,15673570,Rowe,695.0,Germany,Male,28.0,7,108601.0,1,1,0,119647.7,0
44,53893,15787655,Mazzi,791.0,Germany,Female,39.0,2,148507.24,1,0,1,194584.48,0
45,53085,15697574,Wright,727.0,France,Male,30.0,9,0.0,2,1,0,71139.31,0
46,143849,15651342,Hsueh,679.0,Spain,Male,21.0,2,129830.24,2,0,1,83020.45,0
47,23881,15794849,Chukwuhaenye,692.0,Germany,Male,37.0,6,130931.83,2,1,1,198252.88,0
48,44566,15697686,Stewart,658.0,Spain,Male,42.0,6,0.0,1,1,1,84151.98,1
49,64207,15646302,Shao,705.0,France,Female,24.0,7,100169.51,2,1,0,121408.55,0
50,157624,15604544,Hao,652.0,France,Female,49.0,4,0.0,1,0,0,91881.81,1
51,121708,15776733,Obialo,492.0,Germany,Male,31.0,9,117034.92,1,1,1,123982.14,1
52,144876,15787772,Ts'ui,739.0,France,Female,37.0,5,0.0,2,0,0,93091.02,0
53,146767,15674950,Ebelechukwu,544.0,France,Male,31.0,4,0.0,2,1,1,146637.45,0
54,27959,15702434,Maitland,678.0,France,Female,37.0,9,0.0,2,1,1,90839.61,0
55,106743,15629744,Mao,684.0,France,Female,44.0,5,0.0,1,1,1,106564.88,1
56,128856,15679961,Chineze,681.0,Germany,Female,34.0,1,125847.65,1,1,0,122964.88,0
57,24188,15742609,Lombardo,600.0,Spain,Male,28.0,1,116623.31,1,0,1,59905.29,1
58,45325,15804919,Chiemezie,633.0,Spain,Female,42.0,1,129826.59,1,1,0,148564.76,0
59,94693,15792008,Zetticci,555.0,Spain,Male,29.0,10,0.0,1,0,0,158918.03,0
60,141542,15806926,Aksenov,671.0,France,Female,24.0,3,0.0,1,1,0,122488.69,0
61,151921,15691624,Davey,611.0,Germany,Female,36.0,10,103294.56,1,1,0,160548.12,0
62,34865,15685893,Gomes,529.0,Germany,Male,29.0,8,111501.66,1,1,1,182566.74,0
63,76389,15670163,Tsai,590.0,France,Female,46.0,9,0.0,1,1,0,81861.1,1
64,60526,15581893,T'ao,543.0,Germany,Female,56.0,3,110483.86,3,1,0,149946.43,1
65,17358,15577515,H?,758.0,Spain,Female,42.0,5,0.0,2,0,1,91573.18,0
66,160893,15728224,Kerr,710.0,France,Female,60.0,9,0.0,2,0,1,43249.67,0
67,139523,15800215,Omeokachie,774.0,France,Male,30.0,6,0.0,2,1,1,141446.69,0
68,47595,15738166,Lo,662.0,France,Male,45.0,6,0.0,2,1,0,151871.84,1
69,29345,15677324,Udegbunam,709.0,France,Male,25.0,4,164701.68,2,1,0,72008.61,0
70,90374,15716347,Yermakov,567.0,Germany,Male,37.0,2,138056.63,1,1,1,166495.59,0
71,49405,15763662,Hsueh,648.0,Germany,Female,43.0,3,148061.89,1,1,0,86490.09,1
72,101099,15670753,Lucchese,669.0,France,Male,43.0,9,160599.06,1,1,0,67976.57,0
73,112123,15732299,Yuriev,453.0,Spain,Male,32.0,7,0.0,2,1,0,138526.96,0
74,70799,15703037,Edwards,600.0,France,Male,37.0,5,0.0,1,0,1,178705.45,0
75,33883,15720702,Shih,717.0,France,Male,37.0,3,0.0,1,0,0,121883.87,1
76,119953,15656717,Watson,616.0,France,Male,21.0,2,136444.25,1,1,0,51980.25,0
77,136085,15634281,O'Brien,637.0,France,Male,32.0,10,160903.2,1,1,1,104253.56,0
78,122243,15795519,Liao,726.0,Spain,Male,35.0,1,0.0,2,1,1,123982.14,0
79,81823,15633586,Zuev,714.0,France,Female,30.0,2,0.0,2,1,1,54726.43,0
80,130445,15631838,Hs?,635.0,France,Male,38.0,8,0.0,3,1,0,182372.35,1
81,38672,15809558,Chuang,704.0,France,Male,37.0,6,123674.43,1,1,1,58601.41,0
82,110997,15576945,Spencer,611.0,France,Male,30.0,8,0.0,2,0,0,196332.45,0
83,30614,15583392,Hs?,646.0,France,Female,51.0,4,0.0,1,0,0,138882.98,1
84,100980,15576077,Walker,709.0,France,Male,31.0,1,120787.18,1,0,1,182944.47,0
85,73418,15631162,Hs?,535.0,France,Female,36.0,5,0.0,1,1,1,125877.22,0
86,18646,15814930,Chiu,556.0,France,Female,38.0,2,125927.67,1,1,0,81430.4,0
87,80125,15686976,Palerma,702.0,Germany,Female,47.0,3,125877.65,2,1,0,172495.83,1
88,76336,15750867,Ting,686.0,France,Male,45.0,1,141782.57,1,1,1,102297.15,0
89,79771,15658360,Ch'iu,743.0,France,Female,23.0,3,84521.18,1,1,1,96434.41,0
90,23227,15671409,Ch'ang,638.0,Germany,Male,34.0,8,122501.1,2,0,1,45424.74,0
91,14892,15731555,Biryukov,531.0,France,Male,34.0,2,0.0,2,1,1,50972.8,0
92,82061,15806945,Uspenskaya,623.0,Spain,Female,35.0,8,0.0,1,1,0,84487.62,1
93,47055,15655574,Okeke,698.0,Germany,Male,33.0,3,150777.1,1,1,0,114732.62,0
94,29380,15706116,Mazzi,593.0,Spain,Male,36.0,3,135096.79,1,0,1,8877.06,0
95,55953,15766887,Ewing,586.0,France,Female,28.0,3,0.0,2,0,0,119333.95,1
96,92360,15782210,Tien,816.0,France,Female,31.0,1,0.0,2,0,1,6935.24,0
97,160578,15650591,Calabrese,655.0,Germany,Male,50.0,5,118098.62,1,1,0,100720.02,1
98,8309,15719479,Ch'en,531.0,France,Male,46.0,4,0.0,1,1,0,102763.87,1
99,72006,15752978,Tung,619.0,France,Male,33.0,9,0.0,2,1,1,103660.46,0
100,54933,15667934,Iloabuchi,835.0,Germany,Female,30.0,6,102773.2,1,1,0,102950.79,0
101,14600,15796230,Morley,642.0,France,Female,36.0,2,124495.98,2,1,0,57904.22,0
102,64746,15729489,Fyodorova,667.0,France,Male,38.0,7,111388.18,1,0,1,134901.58,0
103,23179,15761053,Maclean,586.0,France,Male,33.0,1,0.0,2,0,1,82868.25,0
104,133682,15607142,Yobachi,582.0,France,Male,30.0,2,0.0,1,1,0,24506.95,0
105,158322,15786200,Brock,564.0,France,Female,33.0,4,0.0,2,1,1,53520.03,0
106,61517,15774127,Potter,518.0,France,Male,38.0,3,0.0,2,1,0,76515.79,0
107,17027,15725478,Manna,679.0,France,Male,40.0,7,0.0,2,1,1,113046.81,0
108,16104,15641110,Fanucci,732.0,Germany,Female,35.0,2,84720.99,1,1,0,59129.72,1
109,85638,15654067,Yudina,762.0,France,Male,30.0,6,0.0,2,1,1,71862.81,0
110,52200,15611729,Kerr,703.0,Germany,Male,39.0,7,141559.5,2,1,0,31257.1,0
111,147261,15652937,Watson,569.0,Germany,Female,57.0,1,125801.03,1,1,0,134901.57,1
112,20218,15745794,Tien,516.0,France,Female,40.0,10,0.0,2,1,0,148087.88,0
113,25055,15753362,Trevisani,678.0,France,Female,40.0,8,82729.49,1,1,0,113089.43,0
114,74893,15783875,Galkin,578.0,Spain,Male,34.0,8,0.0,2,0,0,179634.69,0
115,10056,15713774,Manna,645.0,France,Female,41.0,10,84005.04,1,1,1,146700.78,0
116,81402,15638247,P'eng,594.0,France,Female,35.0,8,0.0,2,1,0,79414.0,0
117,15979,15711398,Fetherstonhaugh,525.0,France,Male,25.0,6,89182.09,1,1,0,89566.64,0
118,151577,15604891,Zaytseva,494.0,Spain,Female,38.0,8,0.0,2,1,0,95403.41,0
119,47386,15592736,Yevdokimova,609.0,France,Male,37.0,2,39344.83,1,1,0,178291.89,1
120,102709,15710404,Hsueh,683.0,France,Female,40.0,4,0.0,2,1,1,107839.03,0
121,48586,15685844,Lo,678.0,Spain,Male,38.0,8,0.0,2,1,0,163558.26,0
122,127148,15740137,Tsao,661.0,France,Male,39.0,2,0.0,2,1,0,109730.3,0
123,42032,15800784,White,758.0,Spain,Male,38.0,8,0.0,2,1,0,140137.47,0
124,99006,15752588,Hsia,605.0,Spain,Male,46.0,10,0.0,2,1,1,102930.92,0
125,120200,15679743,Genovesi,607.0,France,Male,47.0,6,91301.72,1,0,0,130824.57,1
126,144091,15647975,Cheng,634.0,Germany,Female,37.0,5,136925.09,2,1,0,173425.68,0
127,132729,15781234,Y?an,605.0,France,Female,39.0,7,147900.43,1,1,0,140000.29,0
128,9004,15775490,D'Albertis,781.0,France,Male,30.0,7,106266.8,1,1,0,142913.98,0
129,80430,15792993,Rischbieth,844.0,France,Female,31.0,8,0.0,2,1,0,151623.91,0
130,144360,15645045,Okeke,758.0,Germany,Female,35.0,9,109003.26,2,1,1,149384.43,0
131,39595,15671249,Teng,743.0,Germany,Female,34.0,2,128152.82,2,1,1,113926.32,0
132,43317,15658100,Lucchesi,650.0,Germany,Male,31.0,9,106642.98,1,1,1,189398.18,0
133,20090,15646969,P'eng,753.0,Germany,Female,37.0,3,130334.24,2,0,0,125870.4,0
134,27219,15658532,Zito,663.0,France,Female,51.0,2,71091.08,1,1,0,67779.06,0
135,145242,15746451,Hsiung,731.0,Spain,Male,35.0,7,0.0,2,1,1,93883.54,0
136,85555,15579914,Mancini,683.0,France,Male,39.0,1,0.0,2,1,1,24991.92,0
137,120566,15648735,Brown,660.0,France,Male,41.0,3,0.0,2,1,1,108665.89,0
138,148527,15662033,Y?,583.0,France,Male,42.0,9,0.0,2,1,0,103570.28,0
139,93784,15663888,Onwumelu,641.0,Germany,Female,35.0,3,131772.48,1,1,1,79919.13,0
140,2845,15723484,Chidubem,678.0,Germany,Male,29.0,4,121151.06,2,0,1,121513.67,0
141,140023,15741416,Chibuzo,662.0,France,Male,35.0,9,0.0,2,1,1,4595.05,0
142,41824,15662021,Nwankwo,602.0,Spain,Female,39.0,9,0.0,2,1,1,177844.06,0
143,95184,15732628,Hao,525.0,France,Male,51.0,8,0.0,1,0,1,160129.99,1
144,129739,15775318,O'Donnell,633.0,France,Female,31.0,0,0.0,1,1,1,62615.25,0
145,100618,15655368,Ginn,710.0,Spain,Male,31.0,3,0.0,2,1,0,151249.39,0
146,132884,15628558,Palerma,683.0,France,Female,39.0,3,140894.06,1,1,0,159737.56,0
147,15495,15587562,Lettiere,513.0,France,Male,51.0,2,183579.54,1,1,0,52301.15,0
148,60198,15572291,Li Fonti,590.0,Germany,Female,40.0,8,142052.02,1,0,1,177783.04,0
149,111836,15581388,Chin,667.0,Germany,Male,24.0,4,122314.5,2,1,0,51548.14,0
150,12524,15575486,Okoli,529.0,Germany,Female,28.0,1,132954.64,2,1,1,37769.98,0
151,48889,15568360,Rolon,569.0,Spain,Female,32.0,4,139840.36,1,1,1,163524.7,1
152,87274,15809558,Chikwendu,684.0,Spain,Male,38.0,7,91622.66,1,1,0,93548.73,0
153,100727,15672798,Hsieh,705.0,Germany,Male,42.0,6,106799.49,2,1,0,106799.49,1
154,62867,15718912,Hsueh,588.0,Germany,Female,25.0,5,126147.84,2,0,1,132424.69,0
155,80765,15653780,Kambinachi,621.0,Germany,Female,58.0,4,110717.38,1,1,1,47578.45,1
156,1526,15615352,Smith,596.0,France,Male,26.0,3,0.0,2,1,1,126766.72,0
157,1959,15682467,Tuan,598.0,France,Male,38.0,7,0.0,2,1,0,166896.01,0
158,24156,15650357,T'ao,652.0,France,Male,51.0,5,0.0,2,0,1,149043.79,0
159,122908,15757931,K?,554.0,Germany,Male,33.0,2,104584.11,2,0,1,46811.77,0
160,32738,15768120,Shao,678.0,France,Male,32.0,1,0.0,2,1,1,71071.25,0
161,26621,15571873,Sung,655.0,Germany,Male,24.0,9,107065.31,2,0,1,51959.82,0
162,72228,15732760,P'eng,589.0,France,Female,40.0,3,81042.41,1,1,0,126743.33,0
163,83284,15724154,P'eng,587.0,France,Female,30.0,3,0.0,2,1,1,122501.53,0
164,4532,15757912,Burdekin,703.0,France,Male,29.0,6,0.0,1,1,1,172450.04,0
165,52462,15605067,Nwachinemelu,472.0,France,Female,41.0,8,0.0,2,1,1,3453.4,0
166,153308,15646615,Mancini,580.0,Spain,Male,36.0,1,88915.45,1,1,1,173792.22,0
167,86752,15742210,Hsia,628.0,Spain,Male,30.0,7,96798.79,1,1,1,54342.83,0
168,61337,15618667,Koger,766.0,Germany,Female,46.0,6,135179.48,1,1,1,147511.47,0
169,137933,15660871,Chia,665.0,France,Male,28.0,8,137300.23,1,1,0,90174.83,0
170,41528,15636238,Hsu,696.0,France,Male,32.0,1,0.0,2,0,1,102547.56,0
171,60994,15657868,Hsueh,679.0,Germany,Male,38.0,7,102800.27,2,1,1,74838.61,0
172,89699,15591710,Nwabugwu,685.0,France,Male,38.0,9,0.0,1,1,1,151310.17,0
173,24666,15610903,Chukwueloka,560.0,Spain,Female,31.0,5,125341.69,1,0,0,79547.39,1
174,6620,15583462,Onio,619.0,Spain,Male,39.0,2,0.0,1,1,1,183598.77,0
175,15041,15679780,Kao,698.0,Spain,Male,31.0,1,0.0,2,1,1,88798.79,0
176,149867,15676571,Bezrukova,850.0,France,Male,28.0,6,0.0,1,1,0,944.41,1
177,67986,15689031,Fanucci,695.0,France,Female,40.0,3,0.0,1,1,0,156797.45,0
178,77161,15677081,K?,730.0,France,Female,31.0,6,0.0,2,1,1,120853.06,0
179,18668,15641640,Udegbunam,766.0,France,Female,39.0,6,0.0,2,0,0,58469.76,0
180,64057,15773731,John,633.0,France,Female,39.0,2,0.0,2,1,1,100365.51,0
181,59227,15624423,Rizzo,730.0,France,Male,28.0,5,0.0,2,1,0,145528.22,0
182,58488,15614187,Okwuadigbo,606.0,Spain,Male,37.0,4,0.0,2,1,0,109978.16,0
183,2199,15727384,Chukwuemeka,705.0,Germany,Female,43.0,4,146547.78,1,0,1,10072.55,0
184,58004,15737888,Onyemauchechukwu,626.0,Germany,Male,59.0,3,80697.44,1,0,0,75825.57,0
185,52043,15658890,Chidubem,667.0,France,Male,31.0,5,114415.93,1,1,1,66592.02,0
186,35124,15677377,Lawrence,587.0,France,Female,37.0,3,0.0,2,1,0,78915.68,0
187,73546,15626478,Chikezie,627.0,France,Male,44.0,2,123086.43,1,1,1,81405.0,0
188,122222,15751136,Walker,710.0,France,Female,31.0,3,0.0,2,1,1,153535.38,0
189,31836,15692788,T'ien,715.0,France,Female,50.0,1,0.0,2,1,1,134849.57,0
190,65976,15777892,Ch'eng,592.0,France,Male,37.0,8,98899.76,1,1,0,82709.8,0
191,134882,15672798,Chiekwugo,565.0,France,Male,60.0,1,99340.91,1,1,1,132909.83,0
192,101441,15653952,Chienezie,635.0,France,Female,22.0,9,133767.19,1,1,0,126551.65,0
193,113488,15692288,Maclean,641.0,Spain,Female,38.0,2,0.0,1,1,0,159830.48,0
194,66597,15772421,Chikwendu,704.0,Germany,Male,31.0,1,128927.93,1,0,1,2850.01,0
195,139102,15714391,Lai,674.0,France,Male,40.0,5,0.0,2,1,1,66006.75,0
196,41554,15752388,Martin,749.0,France,Female,60.0,5,96651.03,1,1,1,145764.4,1
197,142445,15782454,Edith,552.0,France,Male,49.0,4,0.0,2,1,1,126033.9,0
198,48541,15781674,Lucciano,681.0,France,Male,38.0,8,0.0,1,1,0,126761.9,0
199,127284,15704581,Robertson,736.0,Spain,Female,57.0,2,0.0,2,0,1,86699.98,0
200,86678,15662532,Manna,687.0,Spain,Female,27.0,4,0.0,1,1,0,167034.92,0
201,111347,15632977,Hsiao,745.0,France,Male,33.0,4,0.0,2,0,0,145789.71,0
202,108141,15814690,Chukwujekwu,850.0,Germany,Female,70.0,2,105736.32,1,1,1,89935.73,1
203,54674,15768367,Tsao,637.0,France,Female,32.0,9,100768.74,2,1,1,105720.03,0
204,19490,15618950,Lo Duca,570.0,Germany,Female,35.0,8,102882.4,1,1,1,113051.57,0
205,8679,15791053,Brown,816.0,France,Female,34.0,2,79954.61,2,0,1,30484.19,0
206,107165,15746708,Ritchie,507.0,France,Female,42.0,5,142571.36,1,1,1,898.51,1
207,126887,15806585,Chien,727.0,Germany,Male,43.0,8,102289.39,1,1,1,184524.01,1
208,73084,15605333,Ts'ui,624.0,Spain,Male,46.0,7,0.0,2,1,1,164768.82,0
209,58573,15755863,Milano,630.0,France,Female,49.0,7,0.0,2,0,1,162858.29,0
210,45967,15605950,Onwuamaeze,706.0,Germany,Female,23.0,5,137060.88,1,1,1,165227.23,0
211,69262,15784320,Mazzanti,850.0,Germany,Female,33.0,1,141749.68,2,1,1,126253.31,0
212,115723,15717995,Keen,849.0,France,Male,27.0,0,0.0,1,0,1,157891.86,0
213,142920,15635776,Milani,675.0,France,Female,40.0,2,0.0,2,1,1,88566.9,0
214,120724,15807305,Watkins,805.0,France,Male,40.0,5,0.0,1,0,0,166650.32,0
215,39898,15743818,T'ao,703.0,France,Male,32.0,9,91286.21,1,1,1,1235.25,0
216,87538,15647572,Garmon,691.0,France,Male,36.0,4,0.0,2,1,1,40861.49,0
217,88950,15658435,Hingston,781.0,France,Female,27.0,2,0.0,2,0,0,72969.9,0
218,106490,15674890,Ijendu,686.0,France,Male,35.0,4,0.0,2,1,0,142411.15,0
219,124720,15748797,Iqbal,687.0,France,Male,40.0,9,0.0,2,1,0,93981.58,0
220,134768,15569438,Tuan,743.0,France,Male,36.0,2,0.0,2,1,1,86678.48,0
221,138819,15710853,Ts'ao,555.0,France,Male,58.0,1,0.0,1,1,1,62688.55,0
222,70802,15773438,K'ung,735.0,France,Male,38.0,4,0.0,2,1,1,147535.36,0
223,87841,15757608,Lo,779.0,Spain,Male,38.0,9,0.0,2,1,1,176921.0,0
224,112272,15762532,Chiu,675.0,France,Male,38.0,9,125920.98,1,0,1,11.58,0
225,10246,15570194,Onyekachi,710.0,France,Male,39.0,3,0.0,2,1,0,129964.5,0
226,152586,15633352,Nwachinemelu,653.0,Spain,Male,34.0,2,0.0,1,1,1,93336.3,0
227,106484,15586870,Chiemenam,479.0,France,Female,45.0,8,0.0,1,0,0,71139.31,1
228,96378,15674583,Shao,632.0,France,Female,38.0,7,124577.33,1,1,1,76637.38,0
229,116252,15651584,Toscani,594.0,France,Female,38.0,3,0.0,2,1,0,155823.4,0
230,12414,15622289,Folliero,579.0,France,Male,39.0,9,0.0,2,1,0,103917.19,0
231,140967,15704581,Robertson,595.0,Germany,Female,35.0,2,87967.42,2,0,0,156309.52,0
232,140882,15565701,Chineze,705.0,France,Male,32.0,6,107209.58,1,1,1,129822.79,0
233,16473,15648069,Shao,679.0,Spain,Female,35.0,7,0.0,2,1,1,158845.49,0
234,93153,15753895,Mancini,697.0,France,Female,27.0,2,0.0,2,1,0,96834.0,0
235,82719,15582528,Udinese,516.0,Spain,Female,48.0,4,0.0,2,1,1,72945.95,0
236,129445,15658971,Smith,538.0,France,Female,56.0,5,0.0,1,1,0,171428.6,1
237,25744,15766183,Ferguson,608.0,Germany,Female,76.0,7,130334.84,1,1,1,51672.08,0
238,135795,15657085,Gardiner,638.0,France,Male,23.0,2,88980.32,1,1,1,125222.36,0
239,68196,15657214,Hsia,601.0,France,Male,38.0,2,0.0,2,1,0,51554.58,0
240,95173,15774738,Hsieh,577.0,Spain,Female,39.0,10,0.0,2,1,1,143783.28,0
241,50796,15780215,T'ien,652.0,France,Female,31.0,9,91562.64,1,1,1,54869.79,0
242,86684,15626147,Ku,668.0,France,Male,30.0,2,119370.11,1,1,1,182726.22,0
243,65031,15642515,Scott,675.0,France,Male,35.0,2,0.0,1,1,0,29062.25,0
244,80724,15656096,Cumbrae-Stewart,738.0,Spain,Female,26.0,3,76554.06,1,1,1,184800.27,0
245,36770,15701439,Fanucci,638.0,Spain,Female,50.0,1,0.0,3,1,0,88566.9,1
246,160188,15585865,Bazarova,613.0,France,Male,33.0,2,0.0,2,1,0,158668.81,1
247,122191,15661903,Akabueze,822.0,Spain,Male,42.0,6,0.0,1,0,0,5965.24,1
248,160120,15611800,Chienezie,588.0,Germany,Male,41.0,7,91902.56,2,0,0,119100.05,0
249,34831,15755798,Palermo,732.0,France,Male,54.0,6,0.0,1,0,1,27862.58,0
250,691,15595937,Bogdanov,556.0,France,Male,36.0,3,0.0,2,1,0,52525.15,0
251,119646,15579994,Chin,752.0,Spain,Female,41.0,9,121898.47,2,1,1,100403.21,0
252,31363,15702464,Hsieh,850.0,Spain,Female,30.0,5,0.0,2,0,0,116692.8,0
253,103487,15588550,O'Donnell,732.0,France,Female,36.0,4,0.0,2,0,0,55775.02,0
254,19667,15758856,Iweobiegbunam,485.0,France,Male,38.0,2,147904.45,2,1,1,124872.42,0
255,124011,15686963,Chinweike,625.0,Germany,Male,35.0,4,142711.81,2,0,0,113481.02,0
256,63068,15741718,Onyemauchechukwu,619.0,France,Male,31.0,3,91562.86,1,1,1,184843.24,0
257,107579,15677052,Hsia,553.0,France,Male,36.0,3,0.0,2,1,1,143317.67,0
258,159302,15690620,Lai,575.0,France,Female,30.0,2,0.0,2,0,0,187961.25,0
259,19593,15691387,Agafonova,797.0,France,Male,29.0,8,0.0,2,1,1,81634.45,0
260,16103,15642833,Akubundu,608.0,France,Female,30.0,8,0.0,1,1,0,128875.86,1
261,153707,15805025,Ndubuisi,545.0,Spain,Female,27.0,5,0.0,1,1,1,147075.87,0
262,62577,15737051,Onyeorulu,661.0,France,Male,36.0,5,0.0,2,1,1,179614.12,0
263,62704,15624388,Yefremov,803.0,Spain,Female,36.0,5,0.0,2,1,1,94670.77,0
264,111234,15804864,Shen,678.0,Germany,Female,31.0,4,105229.71,1,1,1,147040.25,0
265,639,15606901,Chiu,688.0,Spain,Female,33.0,3,96949.85,1,1,0,136301.1,0
266,123930,15748352,Chuang,598.0,Germany,Male,34.0,0,104488.17,2,0,1,43249.67,1
267,91855,15638774,Tung,708.0,France,Male,36.0,2,0.0,2,1,0,149575.59,0
268,149515,15702377,Udinesi,832.0,Germany,Male,38.0,9,111589.33,2,1,0,80618.47,0
269,71682,15637315,Chukwumaobim,687.0,France,Male,36.0,2,125927.71,1,1,0,172450.19,0
270,154825,15657830,Okechukwu,702.0,France,Female,74.0,2,145578.28,1,1,0,18922.18,0
271,21291,15712807,Ts'ao,710.0,France,Male,41.0,8,0.0,2,1,1,134876.01,0
272,24226,15576990,Onyemachukwu,691.0,Germany,Male,48.0,2,81132.26,1,1,0,162729.43,1
273,128417,15641732,Humphries,540.0,Spain,Female,31.0,1,0.0,1,0,1,183051.6,1
274,23670,15679663,Macleod,574.0,Spain,Male,31.0,7,141749.96,1,1,1,178752.13,0
275,16485,15740268,Efimov,645.0,France,Male,35.0,6,0.0,2,0,0,109563.25,0
276,126,15572777,Nnachetam,709.0,France,Female,37.0,1,0.0,2,1,1,170819.17,0
277,119757,15655007,Li,725.0,France,Female,33.0,2,0.0,2,0,0,75937.47,0
278,48765,15813681,Zito,733.0,Spain,Female,34.0,3,128929.88,1,1,0,28228.35,0
279,38650,15642345,Shaw,669.0,Germany,Female,51.0,4,191665.21,1,1,0,131167.98,1
280,52710,15577535,Manna,754.0,Germany,Female,30.0,1,88815.84,1,0,0,158971.14,0
281,103501,15728773,Chukwufumnanya,559.0,Germany,Male,39.0,4,149961.48,1,1,1,149599.7,0
282,154911,15572390,Chu,745.0,Germany,Male,51.0,6,146798.81,1,1,0,60774.97,1
283,40223,15671769,Calabrese,695.0,Spain,Male,34.0,7,92474.05,3,1,0,103042.2,1
284,103611,15758813,Shillito,694.0,France,Male,53.0,3,0.0,2,1,1,57762.0,0
285,35950,15811978,Trevisano,693.0,Germany,Male,46.0,2,104763.41,1,1,1,62368.33,0
286,4698,15643826,McKay,503.0,France,Female,32.0,1,0.0,2,1,1,153036.97,0
287,94351,15600834,H?,486.0,France,Male,41.0,7,135889.68,1,1,1,102541.19,0
288,56934,15718852,Y?,826.0,Germany,Female,31.0,3,162701.65,2,1,1,126794.56,1
